0,GearTorque_1,GearTorque_2,GearTorque_3,GearTorque_4,GearTorque_5,GearTorque_6,Joints_1,Joints_2,Joints_3,Joints_4,Joints_5,Joints_6,RobotPositions_1,RobotPositions_2,RobotPositions_3,RobotPositions_4,RobotPositions_5,RobotPositions_6,MeasuredPositionsLeica_1,MeasuredPositionsLeica_2,MeasuredPositionsLeica_3,MeasuredPositionsLeica_4,MeasuredPositionsLeica_5,MeasuredPositionsLeica_6
0,0.0,0.0,0.0,0.0,0.0,0.0,94.42929,-53.36957,67.849075,4.676737,17.413774,-15.608587,-247.9969886016844,-2933.613314208985,1257.7829974365231,-93.43175823211668,1.5296761387584137,176.69551315307615,-1252.0764952558743,2385.188378411357,172.94580891923883,-162.16501256436257,-1.904765427227854,-55.80056562820525
1,0.0,0.0,0.0,0.0,0.0,0.0,91.15101,-52.10161,66.18976,48.378105,27.11832,-67.45353,-247.87578300476085,-2933.60710205078,1257.6301171874998,-111.70510643005368,0.4199399720132866,176.37976005554216,-1305.505769883905,2381.47874489764,173.5568556595421,179.54805758186788,-0.7056237429131196,-55.47929305776058
2,0.0,0.0,0.0,0.0,0.0,0.0,100.43263,-48.472008,59.058144,-52.297527,44.670227,56.954082,-248.2546417999267,-2933.615208740235,1258.0225903320318,-56.79502298355108,3.190011394023872,178.26394851684566,-1162.2049719859592,2440.563549337548,168.8643501334103,-125.50770303054976,-3.708033214259469,-57.46263596935866
3,0.0,0.0,0.0,0.0,0.0,0.0,94.01284,-23.638317,6.1434703,4.788668,91.8209,-16.738571,-248.3093694305421,-2933.869842529296,1257.8034454345716,-100.63235797882056,43.63406509399394,175.3108333587648,-1075.3444032622565,2433.177913123729,108.15599778096367,-170.50153702572598,-43.84700331960055,-52.131598319736895
4,0.0,0.0,0.0,0.0,0.0,0.0,94.14889,-49.696484,88.08701,177.04005,57.309727,-188.65297,-248.26114128112783,-2933.4413879394538,1257.5423059082027,-93.46830818176302,-49.13986185073873,174.80708801269557,-1467.7117098871297,2316.1706162930204,60.64942755364018,-163.13913786873638,48.81747099117742,-56.49683534570476
5,0.0,0.0,0.0,0.0,0.0,0.0,98.602615,-52.158043,66.456955,-34.341774,22.784143,-3.7159429,-247.87474708557136,-2933.5163562011726,1257.9266937255863,-97.68077865600596,5.116227579116453,-154.935463256836,-1221.7784765449455,2268.5799573561003,67.6633941000269,-166.09870780565495,-6.54895687704899,-84.0074704600086
6,0.0,0.0,0.0,0.0,0.0,0.0,92.35522,-51.95825,64.6368,25.625,24.91289,-31.551651,-247.6569062042235,-2933.510917968748,1257.6708850097657,-97.6778862762451,5.125118379592877,168.93248130798344,-1255.182477713057,2427.8298134681045,190.44355821517996,-166.4352288658319,-5.169875576961285,-47.88587754297883
7,0.0,0.0,0.0,0.0,0.0,0.0,67.94349,-29.354488,41.963863,42.199356,33.455658,-64.859665,1034.527534179687,-3071.289715576172,864.0358029174802,-92.83195690155016,5.18543145656563,177.63485832214363,-1619.569871535581,3616.414003632941,-227.7665889681141,-161.5967464494866,-5.585618176870255,-56.57524065162128
8,0.0,0.0,0.0,0.0,0.0,0.0,65.55806,-23.288435,30.612139,51.752556,52.518703,-80.16414,1034.566035766602,-3071.368980712891,863.885276184082,-111.53457309722891,4.15769156217551,176.09880065917977,-1673.5934832458324,3612.0574191100127,-223.4614531087681,179.69690661691692,-4.412336652638414,-55.03387330420823
9,0.0,0.0,0.0,0.0,0.0,0.0,74.37892,-29.862068,42.812584,-38.085934,30.881218,31.795944,1034.2692608642578,-3071.410352783204,864.3996585083007,-51.68419181823759,5.450385985374253,-178.37505027771016,-1522.9571442775991,3682.4983902001136,-239.42076708526045,-120.40066146573216,-6.096811116683901,-60.76005587254304
10,0.0,0.0,0.0,0.0,0.0,0.0,68.43661,-33.51755,64.429596,147.90495,30.731716,-165.77896,1034.3927789306642,-3071.2117065429684,863.8671704101566,-82.84427505493161,-26.33146807670636,178.31884140014645,-1724.518048051472,3548.13244192951,-268.2591591800962,-151.7553154855544,25.858225209971906,-58.64002047203368
11,0.0,0.0,0.0,0.0,0.0,0.0,70.0235,-19.904127,19.000126,12.01598,55.49877,-31.440744,1034.5337640380862,-3071.4164685058595,864.1644454956053,-84.19685958862291,22.509043865203942,178.3774440765383,-1522.521408585617,3665.865388101196,-244.82724686814316,-153.20003252793506,-22.94484424278651,-56.59378742965396
12,0.0,0.0,0.0,0.0,0.0,0.0,66.711075,-29.333527,43.732834,51.73272,31.046885,-55.64829,1034.6469586181647,-3071.238035888672,863.96563873291,-83.65822643280026,3.06941411137578,161.6710729980469,-1648.14850379119,3698.002784292335,-196.65739776895308,-152.35073483512815,-2.861069500965314,-40.75510382614572
13,0.0,0.0,0.0,0.0,0.0,0.0,76.01279,-32.543957,55.444496,-84.128845,14.285899,23.860565,1034.279959716797,-3071.393790283202,864.4498483276368,-83.66604728698749,3.055547437667581,-133.43096839904786,-1534.7500021567814,3472.328778308338,-442.8316440359226,-151.50019868516793,-5.158524733856703,-105.67782725379142
14,0.0,0.0,0.0,0.0,0.0,0.0,65.11135,-61.3359,98.10405,97.724014,14.825136,-125.14216,954.0347042846676,-2345.8334008789075,907.8474285888672,-83.66993053436285,3.0670286691190034,-177.48533470153794,-2228.0485804314176,3237.430125018107,-194.69444627102777,-152.38870154094755,-3.681679990162557,-61.59836688301986
15,0.0,0.0,0.0,0.0,0.0,0.0,59.68911,-55.687756,88.2991,71.148476,47.75418,-119.830666,954.1931872558592,-2345.8222473144538,907.8026303100584,-117.30281764984136,3.946965804099967,-179.60174156188964,-2324.466064487081,3227.0030074693536,-188.01494164470097,173.94150101907374,-4.350897143725018,-59.35734313498167
16,0.0,0.0,0.0,0.0,0.0,0.0,69.43596,-61.753986,99.267296,231.25851,7.817849,-245.33644,953.7636111450196,-2345.935447998048,907.88925415039,-63.61462568283086,2.0168331420418686,-176.5875570678712,-2179.017640381354,3269.2933483199795,-197.7282638731872,-132.31232071536886,-2.698987433229021,-62.62319424251471
17,0.0,0.0,0.0,0.0,0.0,0.0,62.603584,-59.5665,105.266495,137.11852,37.52073,-167.30379,953.8632305908204,-2345.7878662109392,907.6949859619136,-88.67772727966296,-15.548288002014566,-177.63965965271015,-2322.286741357789,3193.9442156564423,-209.8252808012965,-157.41203683386837,14.948957556627478,-62.165671650373646
18,0.0,0.0,0.0,0.0,0.0,0.0,68.606,-48.15664,67.10321,2.357067,60.180073,-35.230396,954.1364108276376,-2345.9921850585933,908.171294555664,-85.42657775878894,48.611332530975375,-176.53473602294912,-2057.643163735343,3323.374891811026,-276.37439733850323,-155.52199386185222,-49.19910922491295,-59.95077396167392
19,0.0,0.0,0.0,0.0,0.0,0.0,70.3099,-61.63315,102.72589,183.55188,12.307439,-237.06053,953.8154757690432,-2345.876624755859,907.8714498901362,-87.88487129211418,3.9506028974053535,-145.74511604309075,-2193.453730874672,3122.161597293764,-329.1213159771963,-156.0927513563731,-5.693048121189159,-93.30388381558552
20,0.0,0.0,0.0,0.0,0.0,0.0,60.715626,-58.14237,93.60684,84.108215,31.454172,-99.61122,954.10398071289,-2345.7370300292973,907.7416757202147,-87.87706306457517,3.955977339744548,162.79751724243164,-2278.130449165321,3328.309179855726,-150.76821809635237,-156.57724500404436,-3.764334444859474,-41.83412745508559
21,0.0,0.0,0.0,0.0,0.0,0.0,72.79388,-76.27375,79.23662,23.542732,34.718372,-42.569965,625.4540661621097,-2413.0327331542976,1709.289272460937,-87.86004081726067,3.945174849033199,179.60210876464848,-2046.6871396850645,2976.065872861421,616.1485304632133,-156.59505189812683,-4.451195462519616,-58.64067798508922
22,0.0,0.0,0.0,0.0,0.0,0.0,70.223724,-74.48733,77.0596,39.603874,43.3416,-62.940212,625.5195248413088,-2413.02607055664,1709.2448303222654,-100.68115543365452,3.7602782785891526,178.73539161682135,-2083.2018455927496,2968.0287923890546,618.6025642378545,-169.42731825612782,-4.193145220551531,-57.73092386122942
23,0.0,0.0,0.0,0.0,0.0,0.0,77.673775,-76.5208,79.58765,-18.467524,33.110043,6.971248,625.2768942260742,-2413.0854150390637,1709.3949279785168,-65.60150009155284,3.797263227700951,-178.87335098266615,-1990.7412228808955,3008.282076242793,611.5373704229779,-134.30378091963718,-4.415737024484383,-60.25210910204647
24,0.0,0.0,0.0,0.0,0.0,0.0,72.20287,-81.32219,95.30973,104.32374,14.519601,-121.49299,625.457800292969,-2412.9637268066413,1709.049155273438,-85.78771400451656,-20.373680315017864,179.72158142089845,-2144.7524527184387,2923.277944780629,590.6437562343066,-154.59183382307572,19.839237611763537,-59.7714828097938
25,0.0,0.0,0.0,0.0,0.0,0.0,75.29685,-56.049015,43.338596,3.521616,88.15299,-24.853209,625.4253768920896,-2413.3215441894527,1709.5706726074216,-86.11938423156754,44.65942945480346,179.65068367004378,-1877.0496235964904,3063.6220905565106,546.993677212263,-155.9701970494685,-45.10344463323101,-56.48260169175148
